"**Column Name**","**Data Type**","**Unit**","**Description**","**UCD**", "**Constraint**"
"dataproduct_type","string","","Data product (file content) primary type","meta.code.class", "NOT NULL"
"dataproduct_subtype","string","","Data product specific type", "meta.code.class", "NOT NULL"
"calib_level","int","","Calibration level of the observation: in {0, 1, 2, 3, 4}", "meta.code;obs.calib", "NOT NULL"
"target_name","string","","Object of interest","meta.id;src", "NULL"
"obs_id","string","","Internal ID given by the ObsTAP service","meta.id", "NOT NULL"
"obs_collection","string","","Name of the data collection","meta.id", "NOT NULL"
"obs_publisher_did","string","","ID for the Dataset given by the publisher","meta.ref.ivoid", "NOT NULL"
"access_url","text","","URL used to access dataset","meta.ref.url", "NOT NULL"
"access_format","string","","Content format of the dataset","meta.code.mime", "NOT NULL"
"access_estsize","int","kbyte","Estimated size of dataset in kilobytes", "meta.id", "NULL"
"s_ra","double","deg","Central Spatial Position in ICRS; Right ascension","pos.eq.ra", "NOT NULL"
"s_dec","double","deg","Central Spatial Position in ICRS; Declination","pos.eq.dec", "NOT NULL"
"s_fov","double","deg","Estimated size of the covered region as the diameter of a containing circle","phys.angSize;instr.fov", "NOT NULL"
"s_region","string","","Sky region covered by the data product (expressed in ICRS frame)","pos.outline;obs.field", "NOT NULL"
"s_resolution","double","arcsec","Spatial resolution of data as FWHM of PSF","pos.angResolution", "NULL"
"s_xel1","long","","Number of elements along the first coordinate of the spatial axis","meta.number", "NULL"
"s_xel2","long","","Number of elements along the second coordinate of the spatial axis","meta.number", "NULL"
"t_xel","long","","Number of elements along the time axis","meta.number", "NULL"
"t_min","double","d","Start time in MJD","time.start;obs.exposure", "NOT NULL"
"t_max","double","d","Stop time in MJD","time.end;obs.exposure", "NOT NULL"
"t_exptime","double","s","Total exposure time","time.duration;obs.exposure", "NOT NULL"
"t_resolution","double","s","Temporal resolution FWHM","time.resolution", "NULL"
"em_filter_name","string","","Filter name associated with the observation spectral coverage","meta.id;instr.filter", "NOT NULL"
"em_xel","long","","Number of elements along the spectral axis","meta.number", "NULL"
"em_min","double","m","start in spectral coordinates","em.wl;stat.min", "NOT NULL"
"em_max","double","m","stop in spectral coordinates","em.wl;stat.max", "NOT NULL"
"em_res_power","double","","Value of the resolving power along the spectral axis (R)","spect.resolution", "NULL"
"o_ucd","string","","Nature of the observable axis","meta.ucd", "NOT NULL"
"pol_xel","long","","Number of elements along the polarization axis","meta.number", "NULL"
"instrument_name","string","","The name of the instrument used for the observation","meta.id;instr", "NOT NULL"
"facility_name","string","","The name of the facility, telescope, or space craft used for the observation", "meta.id;instr.tel", "NOT NULL"
